Boletos,Ingresos,% Δ,Cantidad,% Δ
Cinco Saltos → Mendoza,1147439.99765,0.3488027542577221,16,0.23076923076923078
SAN LUIS → Santa Rosa - LPA,991674.946981,1.0470542181140943,16,0.7777777777777778
Buenos Aires → BAHIA BLANCA,971529.9956660001,1.1719874629554219,16,1
PUERTO MADRYN → General Roca,853909.9995060001,0.49256262225703457,16,0.7777777777777778
BAHIA BLANCA → General Pico - LPM,755450.000233,0.4556718080060162,16,0.45454545454545453
General Pico - LPM → SAN LUIS,644200.001772,1.8961920725436552,16,1.6666666666666667
TRELEW → Mendoza,3414482.0001910003,2.0062934819737532,15,1.5
LAS GRUTAS → Mendoza,2250342.0014440003,2.9625603793597106,15,2.75
Mar del Plata → San Juan,2236499.9983670004,,15,
PUERTO MADRYN → Retiro Buenos Aires,2024380.00361,0.2557643257452164,15,-0.11764705882352941
Mendoza → General Roca,1576500.0000940003,1.1819163191624642,15,0.875
VIEDMA → Retiro Buenos Aires,1221979.9981870002,0.584887560392134,15,0.36363636363636365
BAHIA BLANCA → RIO CUARTO,1142070.003087,1.7056858612392245,15,2
TRELEW → General Roca,1002019.9989530001,2.132095514577486,15,2.75
San Martin (MZA) → CORDOBA,993759.99937,3.0794745318201984,15,2.75
NEUQUEN → Tunuyan - Mza,821049.995107,,15,
LINIERS → Mar del Plata,725670.0002080001,0.19445952156961568,15,-0.11764705882352941
RESISTENCIA → PARANA,712957.999757,7.397620725331565,15,6.5
BAHIA BLANCA → SANTA ROSA - LPM,451771.60205200006,0.25989068507852403,15,0.15384615384615385
Santa Rosa - LPA → BAHIA BLANCA,423360.003742,0.3372500846678109,15,0.25
SAN LUIS → San Martin (MZA),329910.000289,2.2061224413191725,15,2
Buenos Aires → COMODORO RIVADAVIA,2350830.0010249997,,14,
Mendoza → RINCÓN DE LOS SAUCES,1701000.000504,,14,
Cipolletti - RNG → COMODORO RIVADAVIA,1585520.003816,,14,
General Roca → Mendoza,1523980.001075,4.56603361621483,14,3.6666666666666665
Retiro Buenos Aires → VIEDMA,1120419.997781,1.8954413841924551,14,1.8
CORDOBA → Perico,1071444.999552,,14,
Cipolletti - RNG → Lujan Azcuenaga - MZA,989289.9997659998,2.458814059010048,14,2.5
COMODORO RIVADAVIA → Pto San Julian,767999.9995469998,,14,
PARANA → RESISTENCIA,664817.999284,6.419429721269254,14,6
La Quiaca → Salta,491400.002324,,14,
LAS GRUTAS → PUERTO MADRYN,439702.99942,3.3816940519606895,14,1.8
Salta → La Quiaca,412649.999652,0.32323230451573637,14,0.4
COMODORO RIVADAVIA → TUCUMAN,3338249.9999260004,,13,
Caleta Olivia → Mendoza,2814353.8203510004,12.464776974333441,13,12
Gral Guemes → BAHIA BLANCA,2642593.678498,,13,
LAS GRUTAS → RIO GALLEGOS,2491060.001802,17.01434742363393,13,12
Caleta Olivia → General Roca,1850020.0019190002,,13,
Caleta Olivia → BAHIA BLANCA,1791708.003674,19.07515959526411,13,12
San Martin (MZA) → Mar del Plata,1737760.001353,2.6990144659570703,13,2.25
Añelo → Mendoza,1533000.0040270002,1.9778844100924922,13,1.6
Buenos Aires → San Juan,1455269.9986079999,,13,
Retiro Buenos Aires → LAS GRUTAS,1409660.000818,4.192117853824384,13,5.5
General Roca → COMODORO RIVADAVIA,1382925.0016609998,,13,
San Francisco - CBA → Mendoza,1245299.999658,3.374879492493869,13,3.3333333333333335
RIO CUARTO → BAHIA BLANCA,1068730.001155,3.219892598051982,13,3.3333333333333335
Lujan Azcuenaga - MZA → NEUQUEN,1009790.002745,1.2665424659884643,13,1.1666666666666667
NEUQUEN → Lujan Azcuenaga - MZA,998250.001803,2.359301412354337,13,2.25
Plottier → Mendoza,985550.0021580001,2.506297145859835,13,2.25
Pto San Julian → COMODORO RIVADAVIA,768755.997388,,13,
Mendoza → Mina Clavero,701780.001135,0.9387794675864035,13,0.625
SAN LUIS → SANTA ROSA - LPM,656440.001904,,13,
General Pico - LPM → BAHIA BLANCA,636839.9963550001,2.4822834180350513,13,2.25
Villa Dolores - CBA → Mendoza,607669.999986,3.072309318975185,13,2.25
Mar del Plata → Buenos Aires,604920.003826,-0.4805234892765246,13,-0.5517241379310345
Catriel → LAS GRUTAS,600820.002116,17.458371609126587,13,12
Mendoza → Villa Dolores - CBA,597050.002014,7.435292425911452,13,5.5
PARANA → CORRIENTES,585409.0012329998,0.15944615855228372,13,0.18181818181818182
Cipolletti - RNG → BAHIA BLANCA,551249.999526,,13,
Retiro Buenos Aires → Vedia  Bs. As.,419350.00073200004,1.3939601611909818,13,1.1666666666666667
Mendoza → Villa Mercedes - SLU,411829.999463,2.631657813677527,13,2.25
TRELEW → SIERRA GRANDE - RNG,268859.99851000006,,13,
VIEDMA → BAHIA BLANCA,248859.998423,1.9626189828893748,13,1.6
Catriel → Cinco Saltos,131100.000821,0.6185185481964337,13,0.4444444444444444
TUCUMAN → BAHIA BLANCA,2072099.9991650002,,12,
Mendoza → Roque Saenz Peña,1786800.001274,10.90009987902273,12,11
BAHIA BLANCA → Caleta Olivia,1761390.001538,18.73546210127316,12,11
Caleta Olivia → Cipolletti - RNG,1648199.998242,15.787533014625167,12,11
RIO CUARTO → Salta,1422780.001211,3.2241553398928966,12,3
TUCUMAN → San Juan,1276669.997453,,12,
LA PLATA → Mendoza,1178710.001713,3.7647748748521397,12,3
NEUQUEN → RAWSON,943573.51863,2.173809340056213,12,2
Lujan Azcuenaga - MZA → Cipolletti - RNG,901430.0023990001,1.1187185699024758,12,1
CORRIENTES → ROSARIO - SFE,891929.9997880001,,12,
Santa Rosa - LPA → SAN LUIS,744669.998802,1.2453490064704347,12,1
Villa la Angostura → Puerto Varas,735000.0022639999,4.263157891690127,12,3
PUERTO MADRYN → Villa Regina,677939.998871,2.6764642277200656,12,2
BAHIA BLANCA → SIERRA GRANDE - RNG,677650.001458,8.040154777574326,12,11
Osorno → Villa la Angostura,651000.002875,0.1293260484476384,12,0
Mendoza → Villa Carlos Paz,628340.002231,1.1756072337964918,12,1.4
Pto Santa Cruz → COMODORO RIVADAVIA,590320.001331,,12,
BAHIA BLANCA → LAS GRUTAS,545500.001323,1.566092776478755,12,1
VIEDMA → PUERTO MADRYN,461670.00047900004,0.500152556036278,12,0.2
Caleta Olivia → RAWSON,449460.002311,14.01703990639387,12,11
RAWSON → Caleta Olivia,411935.000797,4.603566704141221,12,5
TUCUMAN → Perico,364159.99670300004,12.87276165496766,12,11
SANTIAGO DEL ESTERO → TUCUMAN,235039.999767,,12,
Mendoza → Las Avispas,46749.998351,1.2454369491917392,12,1
RIO GALLEGOS → CORDOBA,3109039.0032010004,0.9117747658315036,11,0.8333333333333334
RIO GALLEGOS → LAS GRUTAS,2161966.000232,2.714411872054306,11,1.75
LA PLATA → COMODORO RIVADAVIA,1803859.9985449999,,11,
LINIERS → PUERTO MADRYN,1654589.9951920002,8.848749970501602,11,4.5
LAS GRUTAS → LINIERS,1514710.0017859999,20.5310589855422,11,10
LINIERS → LAS GRUTAS,1511510.0028310001,16.23893710714818,11,10
San Juan → Buenos Aires,1205310.000181,,11,
Mendoza → Villa Regina,1070166.996569,7.69524274236555,11,10
Villa Regina → Mendoza,1033127.999865,8.234250958549096,11,10
Lujan Azcuenaga - MZA → Cinco Saltos,793840.0005290001,1.9033720894255803,11,1.75
Mendoza → Plottier,782070.002394,3.243692012461918,11,2.6666666666666665
Retiro Buenos Aires → Villa Mercedes - SLU,642320.000769,0.7339380174640495,11,0.8333333333333334
Luis Piedrabuena → COMODORO RIVADAVIA,631330.998252,,11,
