Boletos,Ingresos,% Δ,Cantidad,% Δ
Villa la Angostura → Puerto Montt,2355150.003,0.11%,43,0.14%
PUERTO MADRYN → Caleta Olivia,2165145,0.10%,43,0.14%
TUCUMAN → San Salvador de Jujuy,1396590,0.06%,43,0.14%
BAHIA BLANCA → VIEDMA,798950.5481,0.04%,43,0.14%
SAN LUIS → BAHIA BLANCA,3981789.995,0.19%,42,0.14%
Salta → LA RIOJA,3652380.003,0.17%,42,0.14%
Villa la Angostura → Santiago,3291750.01,0.15%,42,0.14%
BAHIA BLANCA → TRELEW,3176860,0.15%,42,0.14%
Mar del Plata → Buenos Aires,1769399.997,0.08%,42,0.14%
Bariloche → Cipolletti - RNG,1271439.992,0.06%,42,0.14%
Mendoza → LINIERS,3703990.004,0.17%,41,0.14%
Cipolletti - RNG → TRELEW,3170570.002,0.15%,41,0.14%
Villa la Angostura → Osorno,1940400.004,0.09%,40,0.13%
NEUQUEN → SAN ANTONIO OESTE,1422314.956,0.07%,40,0.13%
Villa Regina → NEUQUEN,439669.9991,0.02%,40,0.13%
NEUQUEN → Caleta Olivia,4530190.003,0.21%,39,0.13%
General Pico - LPM → Mendoza,2549150.002,0.12%,39,0.13%
Valdivia → Bariloche,2089500.01,0.10%,39,0.13%
CORDOBA → SAN LUIS,1433290.002,0.07%,39,0.13%
Piedras Blancas → Mendoza,300620.0016,0.01%,38,0.13%
Caleta Olivia → CORDOBA,9114977.854,0.42%,37,0.12%
Mendoza → PUERTO MADRYN,7014580.658,0.33%,37,0.12%
Retiro Buenos Aires → Caleta Olivia,6511470.006,0.30%,37,0.12%
Buenos Aires → Mar del Plata,1653139.998,0.08%,37,0.12%
Villa la Angostura → Valdivia,1963500.005,0.09%,36,0.12%
PUERTO MADRYN → Mendoza,6483083.995,0.30%,35,0.12%
Caleta Olivia → NEUQUEN,4268960.001,0.20%,35,0.12%
Calama → San Salvador de Jujuy,3356649.996,0.16%,35,0.12%
NEUQUEN → SIERRA GRANDE - RNG,1916653.603,0.09%,35,0.12%
VIEDMA → TRELEW,1243986.001,0.06%,35,0.12%
Mendoza → Caleta Olivia,8248930.812,0.38%,34,0.11%
CORDOBA → COMODORO RIVADAVIA,7425326.833,0.35%,34,0.11%
San Juan → Santiago,2078318.607,0.10%,34,0.11%
GENERAL ALVEAR → NEUQUEN,1417495.002,0.07%,34,0.11%
BAHIA BLANCA → Gral San Martin - LPM,519330,0.02%,34,0.11%
Retiro Buenos Aires → COMODORO RIVADAVIA,5758520.007,0.27%,33,0.11%
Buenos Aires → PUERTO MADRYN,4128299.998,0.19%,33,0.11%
Mendoza → CATAMARCA,3164311.998,0.15%,33,0.11%
Parador Purmamarca → San Pedro De Atacama,3118499.993,0.15%,33,0.11%
Mendoza → Cinco Saltos,2281759.998,0.11%,33,0.11%
Mendoza → Puente de Inca,471239.9974,0.02%,33,0.11%
Mendoza → Chacritas,211409.9969,0.01%,33,0.11%
PUERTO MADRYN → Retiro Buenos Aires,3636450.009,0.17%,32,0.11%
San Pedro De Atacama → Parador Purmamarca,3024000.004,0.14%,32,0.11%
LINIERS → Mar del Plata,1333200.006,0.06%,32,0.11%
CORRIENTES → PARANA,1386384.003,0.06%,31,0.10%
CORDOBA → Merlo - SLU,710209.9996,0.03%,31,0.10%
PUERTO MADRYN → SIERRA GRANDE - RNG,432120.0024,0.02%,31,0.10%
Santa Isabel - LPM → GENERAL ALVEAR,387390.0065,0.02%,31,0.10%
San Salvador de Jujuy → San Pedro De Atacama,2834999.999,0.13%,30,0.10%
BAHIA BLANCA → Buenos Aires,1677369.999,0.08%,30,0.10%
ANDESMAR   ,1654112,0.08%,30,0.10%
RIO CUARTO → Mendoza,1137960,0.05%,30,0.10%
Mendoza → TRELEW,6213362.002,0.29%,29,0.10%
San Juan → Retiro Buenos Aires,3083390.008,0.14%,29,0.10%
BAHIA BLANCA → SAN LUIS,2730979.996,0.13%,29,0.10%
Cinco Saltos → Mendoza,1998150.003,0.09%,29,0.10%
Villa Carlos Paz → Mendoza,1674693.904,0.08%,29,0.10%
Temuco → Bariloche,1645349.997,0.08%,29,0.10%
SAN LUIS → General Pico - LPM,1132679.999,0.05%,29,0.10%
Mendoza → COMODORO RIVADAVIA,6434419.995,0.30%,28,0.09%
