Boletos,Ingresos,% Δ,Cantidad,% Δ
Mendoza → Caleta Olivia,8248930.812446,,34,
CORDOBA → COMODORO RIVADAVIA,7425326.833167999,,34,
Calama → San Salvador de Jujuy,3262149.99641,33.52010597973945,34,33
San Juan → Santiago,2078318.606627,,34,
GENERAL ALVEAR → NEUQUEN,1417495.002189,,34,
BAHIA BLANCA → Gral San Martin - LPM,519330.000039,,34,
Retiro Buenos Aires → COMODORO RIVADAVIA,5758520.006519999,,33,
Buenos Aires → PUERTO MADRYN,4128299.997619,,33,
Parador Purmamarca → San Pedro De Atacama,3118499.993283,,33,
Buenos Aires → Mar del Plata,1488919.998248,8.066617943730751,33,7.25
Mendoza → Puente de Inca,471239.997385,,33,
Mendoza → Chacritas,211409.996884,,33,
Mendoza → CATAMARCA,3084031.9981390005,37.415944118061766,32,31
San Pedro De Atacama → Parador Purmamarca,3024000.0043829996,,32,
LINIERS → Mar del Plata,1333200.006126,,32,
Mendoza → Cinco Saltos,2163739.999105,17.33367236910628,31,14.5
Villa la Angostura → Osorno,1617000.0013650001,3.9999999680581326,31,2.4444444444444446
CORDOBA → Merlo - SLU,710209.999606,,31,
PUERTO MADRYN → SIERRA GRANDE - RNG,432120.002383,,31,
Santa Isabel - LPM → GENERAL ALVEAR,387390.006469,,31,
PUERTO MADRYN → Retiro Buenos Aires,3478950.008891,21.08857144322924,30,14
San Salvador de Jujuy → San Pedro De Atacama,2834999.9993080003,,30,
BAHIA BLANCA → Buenos Aires,1677369.9989220002,,30,
RIO CUARTO → Mendoza,1137960.000297,,30,
San Juan → Retiro Buenos Aires,3083390.0081590004,,29,
Cinco Saltos → Mendoza,1998150.0025250004,,29,
SAN LUIS → General Pico - LPM,1132679.9985970003,,29,
Mendoza → COMODORO RIVADAVIA,6434419.994574,,28,
COMODORO RIVADAVIA → Mendoza,6348130.99522,,28,
Resistencia → TRELEW CUSTOM ANDESMAR AR,5746553.669167,,28,
TRELEW → RIO GALLEGOS,4206260.999764999,,28,
BAHIA BLANCA → SAN LUIS,2655199.9964710004,34.03826870358181,28,27
Santiago → Villa la Angostura,2173500.007468,,28,
SAN LUIS → LINIERS,2006346.074181,,28,
Villa Carlos Paz → Mendoza,1612743.9032790002,25.032992540653776,28,27
Temuco → Bariloche,1601249.9969890001,35.30952339297215,28,27
CORRIENTES → PARANA,1240379.0050050002,7.495455763331126,28,8.333333333333334
SAN ANTONIO OESTE → NEUQUEN,1039774.9973149999,,28,
San Salvador de Jujuy → TUCUMAN,873179.9982939999,,28,
BAHIA BLANCA → SANTA ROSA - LPM,810351.602208,,28,
Merlo - SLU → CORDOBA,633200.003052,,28,
BAHIA BLANCA → General Pico - LPM,1274420.0016289998,,27,
PUERTO MADRYN → LAS GRUTAS,792200.004347,,27,
Santa Rosa - LPA → BAHIA BLANCA,739950.003321,,27,
RESISTENCIA → Goya Acc,408807.00145599997,27.077405060765113,27,26
Mendoza → Añelo,2940000.0024539996,30.014294185124026,26,25
Mar del Plata → NEUQUEN,2826599.9958539996,,26,
VIEDMA → Retiro Buenos Aires,1992999.9927440002,,26,
NEUQUEN → BAHIA BLANCA,1197010.0000559997,,26,
NEUQUEN → Villa Regina,259659.99949400002,,26,
LAS GRUTAS → CORDOBA,3347150.004536,,25,
CORDOBA → LAS GRUTAS,3285780.0073969997,,25,
PUNTA ALTA → Mendoza,3106567.2050269996,29.651871588269415,25,24
General Roca → TRELEW,1753169.9993580002,6.854704237388312,25,7.333333333333333
SAN LUIS → Santa Rosa - LPA,1476114.947742,,25,
Valdivia → Villa la Angostura,1344000.000784,,25,
CORDOBA → Realico - LPM,994382.0020280001,,25,
Mendoza → RIO CUARTO,898309.998296,13.697480643527575,25,11.5
TRELEW → VIEDMA,871786.001874,,25,
Cinco Saltos → Bariloche,815795.002143,,25,
San Juan → Mendoza,702239.9983010001,,25,
GENERAL ALVEAR → Santa Isabel - LPM,290229.998831,,25,
Mendoza → TRELEW,5357094.001325,5.2563286227071835,24,3.8
TRELEW → CORDOBA,3722168.998566,9.756470312533269,24,11
TRELEW → Cipolletti - RNG,1638810.0018090003,,24,
Buenos Aires → BAHIA BLANCA,1418829.9972710002,,24,
PUERTO MADRYN → General Roca,1376459.997607,26.773607504318218,24,23
Bariloche → Plottier,813059.9968209999,,24,
PUERTO MADRYN → VIEDMA,772038.0012200001,,24,
COMODORO RIVADAVIA → CORDOBA,4587351.00373,,23,
NEUQUEN → Mar del Plata,2492699.99577,,23,
CATAMARCA → Mendoza,2138509.993492,,23,
CATAMARCA → Salta,1905563.996777,,23,
Plottier → Bariloche,774199.996467,,23,
Cinco Saltos → Catriel,220184.99978100002,,23,
RESISTENCIA → Mendoza,3416180.0004209997,,22,
Mendoza → General Roca,2200160.001557,21.253059710914922,22,21
San Pedro De Atacama → San Salvador de Jujuy,2078999.9984349997,,22,
General Roca → PUERTO MADRYN,1266079.9991650002,,22,
Villa Regina → PUERTO MADRYN,1171970.0047419998,24.422342697083934,22,21
Osorno → Villa la Angostura,1160250.004074,16.265624857394208,22,10
BAHIA BLANCA → NEUQUEN,1009050.0005670001,,22,
General Pico - LPM → SAN LUIS,866630.0014530001,,22,
VIEDMA → PUERTO MADRYN,769418.701517,,22,
Salta → La Quiaca,674100.002931,12.374999827542165,22,10
Mendoza → San Juan,603779.997274,15.591920813928073,22,21
SIERRA GRANDE - RNG → TRELEW,447093.56946399994,,22,
Caleta Olivia → COMODORO RIVADAVIA,440609.9960069999,,22,
Catriel → Cinco Saltos,212099.99984300003,,22,
CORDOBA → RIO GALLEGOS,6495983.000186998,,21,
COMODORO RIVADAVIA → Retiro Buenos Aires,3620720.00233,,21,
Caleta Olivia → Retiro Buenos Aires,3583259.998272,,21,
COMODORO RIVADAVIA → BAHIA BLANCA,2169277.995941,,21,
Bariloche → Temuco,1192800.0009950001,26.047618810745067,21,20
Santa Rosa - LPA → Monte Hermoso,1127599.9984900001,,21,
SANTA ROSA - LPM → BAHIA BLANCA,628380.00141,,21,
BAHIA BLANCA → Santa Rosa - LPA,618580.00373,,21,
San Francisco - CBA → SANTA FE,315850.00003600004,,21,
Salta → RIO CUARTO,2356785.996201,,20,
BAHIA BLANCA → RIO CUARTO,1564170.0034780002,,20,
Mendoza → Mina Clavero,1012299.9993629998,18.675412874212405,20,19
SANTIAGO DEL ESTERO → Salta,979717.9998930001,,20,
RESISTENCIA → Goya Terminal,399261.998106,,20,
Puente de Inca → Mendoza,285599.999607,,20,
TRELEW → TUCUMAN,4135316.9987220005,,19,
LAS GRUTAS → Mendoza,2818243.001304,,19,
LA PLATA → PUERTO MADRYN,2556619.9995340006,7.543425273034993,19,5.333333333333333
Cipolletti - RNG → Caleta Olivia,2452019.9981039995,,19,
Mendoza → San Francisco - CBA,1786249.998245,,19,
Retiro Buenos Aires → VIEDMA,1507379.997696,,19,
Lujan Azcuenaga - MZA → NEUQUEN,1455310.0042,,19,
LINIERS → BAHIA BLANCA,1152230.001174,,19,
Puerto Montt → Villa la Angostura,1071000.0022769999,,19,
Salta → SANTIAGO DEL ESTERO,975489.998657,,19,
PARANA → CORRIENTES,868708.0000669999,2.9200740158119243,19,2.8
Bariloche → Cinco Saltos,638469.998331,,19,
Retiro Buenos Aires → Vedia  Bs. As.,594520.0004380001,,19,
LAS GRUTAS → PUERTO MADRYN,540052.9997180001,,19,
SAN LUIS → San Martin (MZA),412860.000976,19.694737255130462,19,18
Goya Acc → RESISTENCIA,290295.00065600005,,19,
TRELEW → Mendoza,4017112.000209,6.534703301482129,18,5
Mendoza → LAS GRUTAS,2503633.0056550005,,18,
Añelo → Mendoza,2047795.003736,,18,
Mendoza → Valparaíso,1513049.995466,,18,
Mendoza → SANTA ROSA - LPM,1396500.002261,,18,
Lujan Azcuenaga - MZA → Cipolletti - RNG,1326890.002233,,18,
Cipolletti - RNG → Lujan Azcuenaga - MZA,1275310.00052,,18,
TRELEW → General Roca,1240099.9996100003,14.152737050724129,18,17
San Martin (MZA) → CORDOBA,1179610.0006179998,19.42614734186529,18,17
Santiago → San Juan,1096199.999185,,18,
Santa Rosa - LPA → SAN LUIS,1076319.999161,,18,
Mina Clavero → Mendoza,885449.9980080001,18.79543907340268,18,17
